Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
246.0,Devin Brown,31.0,NOH,SG,39.0,37.0,967.0,0.394,15.1,0.548,0.286,0.089,0.046,0.126,0.452,0.416,0.559,0.276,0.133,0.293,0.367,0.554,0.87,0.015,5.0,0.15,0.455,0.0,0.0,0
246.0,Devin Brown,31.0,CHI,SG,11.0,0.0,93.0,0.222,17.2,0.528,0.222,0.0,0.111,0.194,0.472,0.211,0.5,0.0,0.0,0.0,0.235,0.5,0.75,0.0,0.0,0.235,0.0,0.0,0.0,0
247.0,Jamario Moon,29.0,CLE,SF,61.0,2.0,1052.0,0.462,15.4,0.595,0.287,0.016,0.057,0.235,0.405,0.558,0.732,0.0,0.429,0.414,0.32,0.744,0.969,0.154,36.0,0.43,0.279,0.0,0.0,0
248.0,Kurt Thomas,37.0,MIL,C,70.0,9.0,1049.0,0.476,12.1,1.0,0.212,0.115,0.216,0.457,0.0,0.476,0.523,0.5,0.467,0.453,0.0,0.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
249.0,Sergio RodrÃ­guez,23.0,2TM,PG,66.0,8.0,1048.0,0.476,11.0,0.741,0.405,0.137,0.063,0.137,0.259,0.519,0.592,0.458,0.364,0.438,0.352,0.185,0.875,0.0,0.0,0.22,0.55,0.0,0.0,0
249.0,Sergio RodrÃ­guez,23.0,SAC,PG,39.0,0.0,517.0,0.463,10.3,0.779,0.395,0.174,0.074,0.137,0.221,0.493,0.573,0.424,0.357,0.423,0.357,0.178,0.933,0.0,0.0,0.238,0.7,0.0,0.0,0
249.0,Sergio RodrÃ­guez,23.0,NYK,PG,27.0,8.0,531.0,0.491,11.8,0.696,0.416,0.093,0.05,0.137,0.304,0.554,0.612,0.533,0.375,0.455,0.347,0.194,0.824,0.0,0.0,0.204,0.4,0.0,0.0,0
250.0,Josh Boone,25.0,NJN,PF,63.0,28.0,1045.0,0.525,3.1,1.0,0.74,0.108,0.103,0.049,0.0,0.525,0.588,0.292,0.435,0.273,0.0,0.667,0.0,0.161,29.0,0.0,0.0,0.0,0.0,0
251.0,Jarvis Hayes,28.0,NJN,SF,45.0,19.0,1033.0,0.421,19.7,0.454,0.095,0.034,0.061,0.265,0.546,0.523,0.774,0.273,0.45,0.483,0.335,0.859,0.95,0.003,1.0,0.38,0.338,1.0,0.0,0
252.0,Marreese Speights,22.0,PHI,C,62.0,1.0,1016.0,0.477,9.1,0.989,0.363,0.185,0.164,0.277,0.011,0.483,0.559,0.5,0.342,0.455,0.0,0.618,0.0,0.09,34.0,0.0,0.0,2.0,0.0,0
